 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.0000D+00  0.644143157374078E+02 -0.000000000000000E+00    0.155244993065922E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1100D-01  0.646651442397265E+02 -0.000000000000000E+00    0.154642815964780E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.3500D-01  0.671223433732669E+02 -0.000000000000000E+00    0.148981687727886E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.6300D-01  0.758018401819613E+02  0.616749466141669E-02    0.131922917831482E-01 -0.107336957716470E-05
  0.10000000  0.00000000  0.00000000    0.9500D-01  0.963807948066050E+02  0.903132071355105E+01    0.102852013505004E-01 -0.963770346428515E-03
  0.10000000  0.00000000  0.00000000    0.1310D+00  0.106261932625192E+03  0.588824634615782E+02    0.719993117704243E-02 -0.398966660952270E-02
  0.10000000  0.00000000  0.00000000    0.1710D+00  0.587696382134692E+02  0.122903695496111E+03    0.316660598851427E-02 -0.662225581098305E-02
  0.10000000  0.00000000  0.00000000    0.2150D+00 -0.888746014711744E+01  0.990621824935817E+02   -0.898421752103967E-03 -0.100140667963493E-01
  0.10000000  0.00000000  0.00000000    0.2630D+00 -0.296443717043046E+02  0.479192618666346E+02   -0.933667932624675E-02 -0.150924696958325E-01
  0.10000000  0.00000000  0.00000000    0.3150D+00 -0.121334861269067E+02  0.202044927884550E+02   -0.218447001972756E-01 -0.363754557416990E-01
  0.10000000  0.00000000  0.00000000    0.3710D+00 -0.119563911105213E+02  0.419849538865036E+02   -0.627404289958688E-02 -0.220313470332450E-01
  0.10000000  0.00000000  0.00000000    0.4310D+00 -0.182612628849158E+02  0.126008796826682E+02   -0.370970936486906E-01 -0.255982303409012E-01
  0.10000000  0.00000000  0.00000000    0.4950D+00 -0.855436431351739E+01  0.153745008547222E+02   -0.276346221617072E-01 -0.496668725429106E-01
  0.10000000  0.00000000  0.00000000    0.5630D+00 -0.122762539154051E+02  0.178267149257663E+02   -0.262034188481423E-01 -0.380507670422253E-01
  0.10000000  0.00000000  0.00000000    0.6350D+00 -0.135553356195841E+02  0.632113426159189E+01   -0.605950004240824E-01 -0.282567059946829E-01
  0.10000000  0.00000000  0.00000000    0.7110D+00 -0.919109438917144E+01  0.466440569913526E+01   -0.865183449158597E-01 -0.439073568410677E-01
  0.10000000  0.00000000  0.00000000    0.7910D+00 -0.713193167506875E+01  0.340194137412157E+01   -0.114224849230196E+00 -0.544854126838305E-01
  0.10000000  0.00000000  0.00000000    0.8750D+00 -0.572419287404758E+01  0.278382830913897E+01   -0.141281987122271E+00 -0.687092143777259E-01
  0.10000000  0.00000000  0.00000000    0.9630D+00 -0.471820550835364E+01  0.209471963715641E+01   -0.177047918876389E+00 -0.786031366652903E-01
  0.10000000  0.00000000  0.00000000    0.1055D+01 -0.412082747252908E+01  0.185849168643994E+01   -0.201653293040442E+00 -0.909455615788959E-01
  0.10000000  0.00000000  0.00000000    0.1151D+01 -0.358760046002931E+01  0.894456127544887E+00   -0.262425509340197E+00 -0.654276047370975E-01
  0.10000000  0.00000000  0.00000000    0.1251D+01 -0.270004915483067E+01  0.388878631694583E+00   -0.362837068751900E+00 -0.522581533643083E-01
  0.10000000  0.00000000  0.00000000    0.1355D+01 -0.198493246612777E+01  0.289997150437968E+00   -0.493266704004911E+00 -0.720658969553803E-01
  0.10000000  0.00000000  0.00000000    0.1463D+01 -0.147608557324061E+01  0.171748092707243E+00   -0.668418320155225E+00 -0.777729785443319E-01
  0.10000000  0.00000000  0.00000000    0.1575D+01 -0.106069916053229E+01  0.139375690230875E+00   -0.926772805211204E+00 -0.121777789801111E+00
  0.10000000  0.00000000  0.00000000    0.1691D+01 -0.734168796023911E+00  0.105142422461893E+00   -0.133470978499787E+01 -0.191147622778696E+00
  0.10000000  0.00000000  0.00000000    0.1811D+01 -0.451362636042273E+00  0.984667981201931E-01   -0.211486413848490E+01 -0.461367165881949E+00
  0.10000000  0.00000000  0.00000000    0.1935D+01 -0.232358919262792E+00  0.148250048969502E+00   -0.305861207997854E+01 -0.195146109335574E+01
  0.10000000  0.00000000  0.00000000    0.2063D+01 -0.166209920760207E+00  0.238096846715325E+00   -0.197127738498218E+01 -0.282386831796058E+01
  0.10000000  0.00000000  0.00000000    0.2195D+01 -0.834680401893535E-01  0.539293338639665E-01   -0.845221430167061E+01 -0.546103976959948E+01
  0.10000000  0.00000000  0.00000000    0.2331D+01  0.111913372046340E+00  0.172057739330788E-01    0.872915540547750E+01 -0.134203689681666E+01
  0.10000000  0.00000000  0.00000000    0.2471D+01  0.264591461340439E+00  0.417875744355886E-01    0.368743698748455E+01 -0.582365911622495E+00
  0.10000000  0.00000000  0.00000000    0.2615D+01  0.349197356254302E+00  0.962116447956087E-01    0.266165703016017E+01 -0.733345760404366E+00
  0.10000000  0.00000000  0.00000000    0.2763D+01  0.387122885168342E+00  0.100319326032341E+00    0.242060586170443E+01 -0.627277688660865E+00
  0.10000000  0.00000000  0.00000000    0.2915D+01  0.443134055013082E+00  0.630098201066238E-01    0.221193179908176E+01 -0.314517521665420E+00
  0.10000000  0.00000000  0.00000000    0.3071D+01  0.529539839141229E+00  0.552034507865566E-01    0.186812988265989E+01 -0.194748739221502E+00
  0.10000000  0.00000000  0.00000000    0.3231D+01  0.549478461289839E+00  0.127926219484928E+00    0.172633614504269E+01 -0.401915037901740E+00
  0.10000000  0.00000000  0.00000000    0.3395D+01  0.565894793687679E+00  0.453117133324456E-01    0.175585551127992E+01 -0.140592955559546E+00
  0.10000000  0.00000000  0.00000000    0.3563D+01  0.629621120073528E+00  0.547412206605538E-01    0.157634103226631E+01 -0.137051997673614E+00
