 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.378979448435272E+02  0.000000000000000E+00    0.263866551109511E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.2082D-02  0.379016309294035E+02  0.000000000000000E+00    0.263840889027341E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.6420D-02  0.379330318945635E+02  0.000000000000000E+00    0.263622481529961E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.1112D-01  0.380034943789438E+02  0.000000000000000E+00    0.263133697661776E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.1621D-01  0.381233520802458E+02  0.000000000000000E+00    0.262306419932618E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.2172D-01  0.383058001708402E+02  0.000000000000000E+00    0.261057071132856E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.2770D-01  0.385679833980331E+02  0.000000000000000E+00    0.259282418186012E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.3417D-01  0.389326700149032E+02  0.000000000000000E+00    0.256853691158918E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.4118D-01  0.394309437371082E+02  0.000000000000000E+00    0.253607929515242E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.4877D-01  0.401067849249256E+02  0.000000000000000E+00    0.249334371197258E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.5700D-01  0.410254874209754E+02  0.000000000000000E+00    0.243750912631138E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.6591D-01  0.422909851325340E+02  0.000000000000000E+00    0.236457012497141E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.7556D-01  0.440897963663655E+02  0.000000000000000E+00    0.226809847723149E-01  0.000000000000000E+00
  0.10000000  0.10000000  0.00000000    0.8602D-01  0.469072331974446E+02  0.415059395424487E-02    0.213186735606664E-01 -0.188638620446798E-05
  0.10000000  0.10000000  0.00000000    0.9735D-01  0.514173199864512E+02  0.766874473840786E+00    0.194443740188757E-01 -0.290007221279095E-03
  0.10000000  0.10000000  0.00000000    0.1096D+00  0.573451361573360E+02  0.415608728037058E+01    0.173471525329898E-01 -0.125723443737581E-02
  0.10000000  0.10000000  0.00000000    0.1229D+00  0.634693915089204E+02  0.110586971507447E+02    0.152914031371870E-01 -0.266432357840285E-02
  0.10000000  0.10000000  0.00000000    0.1373D+00  0.682302859825793E+02  0.223279589770665E+02    0.132385490344318E-01 -0.433223715099402E-02
  0.10000000  0.10000000  0.00000000    0.1529D+00  0.683099300720222E+02  0.389854689042923E+02    0.110424634022149E-01 -0.630209419245405E-02
  0.10000000  0.10000000  0.00000000    0.1698D+00  0.585232629656442E+02  0.583172585950731E+02    0.857373791991609E-02 -0.854355799839206E-02
  0.10000000  0.10000000  0.00000000    0.1881D+00  0.396460323585383E+02  0.694131660050176E+02    0.620439128314626E-02 -0.108627879380814E-01
  0.10000000  0.10000000  0.00000000    0.2080D+00  0.189661071480788E+02  0.699217658988887E+02    0.361344077828653E-02 -0.133215613629201E-01
  0.10000000  0.10000000  0.00000000    0.2294D+00  0.515301527365712E+00  0.633350453256224E+02    0.128453076589327E-03 -0.157880017736233E-01
  0.10000000  0.10000000  0.00000000    0.2527D+00 -0.134903814035902E+02  0.491748256987446E+02   -0.518830117867595E-02 -0.189122752353082E-01
  0.10000000  0.10000000  0.00000000    0.2779D+00 -0.160881247173968E+02  0.274748675936200E+02   -0.158707571419560E-01 -0.271036530823398E-01
  0.10000000  0.10000000  0.00000000    0.3053D+00  0.152092228883127E-02  0.107826083781000E+02    0.130815544057905E-04 -0.927419363699623E-01
  0.10000000  0.10000000  0.00000000    0.3348D+00  0.149813300921087E+02  0.290650993723146E+02    0.140114537226157E-01 -0.271834538251664E-01
  0.10000000  0.10000000  0.00000000    0.3669D+00 -0.115884120736203E+02  0.607574377132484E+02   -0.302905031934008E-02 -0.158811522181317E-01
  0.10000000  0.10000000  0.00000000    0.4016D+00 -0.292912583813986E+02  0.111095816852511E+02   -0.298463825081068E-01 -0.113201290352766E-01
  0.10000000  0.10000000  0.00000000    0.4392D+00 -0.128082896958488E+02  0.668455109839849E+01   -0.613613361662457E-01 -0.320240248159139E-01
  0.10000000  0.10000000  0.00000000    0.4800D+00 -0.644102926218645E+01  0.802030282444529E+01   -0.608723229920357E-01 -0.757975851607671E-01
  0.10000000  0.10000000  0.00000000    0.5241D+00 -0.439667659282051E+01  0.955159378062618E+01   -0.397660013404435E-01 -0.863899545634055E-01
  0.10000000  0.10000000  0.00000000    0.5719D+00 -0.545005123254526E+01  0.112917763665042E+02   -0.346679333913402E-01 -0.718273157885631E-01
  0.10000000  0.10000000  0.00000000    0.6237D+00 -0.703792890529279E+01  0.873865718369085E+01   -0.559024662637729E-01 -0.694113985770123E-01
  0.10000000  0.10000000  0.00000000    0.6798D+00 -0.693898139518051E+01  0.669574290282464E+01   -0.746267973487005E-01 -0.720108356328998E-01
  0.10000000  0.10000000  0.00000000    0.7406D+00 -0.665741173427995E+01  0.507602636811257E+01   -0.949875888673407E-01 -0.724244683938280E-01
  0.10000000  0.10000000  0.00000000    0.8065D+00 -0.580874890968766E+01  0.292311529218118E+01   -0.137367591686378E+00 -0.691269865768981E-01
  0.10000000  0.10000000  0.00000000    0.8778D+00 -0.435796821146866E+01  0.196765955580041E+01   -0.190607503967277E+00 -0.860609023263351E-01
  0.10000000  0.10000000  0.00000000    0.9551D+00 -0.331796838116789E+01  0.179261771603344E+01   -0.233291859427805E+00 -0.126041924507268E+00
  0.10000000  0.10000000  0.00000000    0.1039D+01 -0.295465527594388E+01  0.173471343480175E+01   -0.251690968679626E+00 -0.147770776625485E+00
  0.10000000  0.10000000  0.00000000    0.1129D+01 -0.262898077039158E+01  0.959470207907467E+00   -0.335666431712379E+00 -0.122504487157075E+00
  0.10000000  0.10000000  0.00000000    0.1228D+01 -0.200941153910626E+01  0.550872780153287E+00   -0.462870542085847E+00 -0.126894256058319E+00
  0.10000000  0.10000000  0.00000000    0.1334D+01 -0.145473352413325E+01  0.304050256751940E+00   -0.658639035146495E+00 -0.137660516115801E+00
  0.10000000  0.10000000  0.00000000    0.1449D+01 -0.954652608073668E+00  0.156621504086457E+00   -0.102004580921871E+01 -0.167349994674285E+00
  0.10000000  0.10000000  0.00000000    0.1574D+01 -0.574858587302317E+00  0.171586290370761E+00   -0.159725423248560E+01 -0.476755387472486E+00
  0.10000000  0.10000000  0.00000000    0.1710D+01 -0.306946755130993E+00  0.124768816122747E+00   -0.279592621034971E+01 -0.113649809747302E+01
  0.10000000  0.10000000  0.00000000    0.1856D+01 -0.507227374533597E-01  0.104559304096021E+00   -0.375572523370010E+01 -0.774201150268438E+01
  0.10000000  0.10000000  0.00000000    0.2015D+01  0.886338150788367E-01  0.194732476722335E+00    0.193622155270762E+01 -0.425396580420858E+01
  0.10000000  0.10000000  0.00000000    0.2187D+01  0.180012432797455E+00  0.859350704252423E-01    0.452414033905676E+01 -0.215975259379983E+01
  0.10000000  0.10000000  0.00000000    0.2373D+01  0.348482376445699E+00  0.368187758096473E-01    0.283790630786220E+01 -0.299837934944305E+00
  0.10000000  0.10000000  0.00000000    0.2575D+01  0.482107207280338E+00  0.705923154426758E-01    0.203068918407579E+01 -0.297342684953788E+00
  0.10000000  0.10000000  0.00000000    0.2794D+01  0.550246966295883E+00  0.906661312691300E-01    0.176932795757851E+01 -0.291538401274336E+00
  0.10000000  0.10000000  0.00000000    0.3030D+01  0.611334440574805E+00  0.672882976761487E-01    0.161618585006576E+01 -0.177890181480618E+00
  0.10000000  0.10000000  0.00000000    0.3287D+01  0.667607504299983E+00  0.771429932041773E-01    0.147814965226663E+01 -0.170802287040086E+00
  0.10000000  0.10000000  0.00000000    0.3565D+01  0.714180053129754E+00  0.578616252111313E-01    0.139107616038901E+01 -0.112702570002953E+00
  0.10000000  0.10000000  0.00000000    0.3866D+01  0.756088660251479E+00  0.685600906133705E-01    0.131181001984119E+01 -0.118951412123977E+00
  0.10000000  0.10000000  0.00000000    0.4192D+01  0.778568935230255E+00  0.630747452989228E-01    0.127603290014781E+01 -0.103376138615223E+00
  0.10000000  0.10000000  0.00000000    0.4545D+01  0.811839635980609E+00  0.446240984084487E-01    0.122805998261170E+01 -0.675023330800409E-01
  0.10000000  0.10000000  0.00000000    0.4928D+01  0.826128604518181E+00  0.700689505765982E-01    0.120181968733935E+01 -0.101933577670122E+00
  0.10000000  0.10000000  0.00000000    0.5343D+01  0.826663187332099E+00  0.368515771773669E-01    0.120728332339625E+01 -0.538191312361073E-01
  0.10000000  0.10000000  0.00000000    0.5792D+01  0.854247370978040E+00  0.131951811113994E-01    0.117034186436202E+01 -0.180777528701421E-01
  0.10000000  0.10000000  0.00000000    0.6279D+01  0.878933721205609E+00  0.127760855473789E-01    0.113750187114292E+01 -0.165346042203174E-01
  0.10000000  0.10000000  0.00000000    0.6806D+01  0.896394612431659E+00  0.328869597632095E-02    0.111556509397914E+01 -0.409278947576563E-02
  0.10000000  0.10000000  0.00000000    0.7377D+01  0.915462051021591E+00  0.000000000000000E+00    0.109234456948169E+01  0.000000000000000E+00
