 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.765319901528419E+03  0.114607834465755E-13    0.130664314099621E-02 -0.195671823651834E-19
  0.00000000  0.00000000  0.01000000    0.2082D-02  0.765560051602458E+03 -0.895676704724546E-14    0.130623325747839E-02  0.152824418830489E-19
  0.00000000  0.00000000  0.01000000    0.6420D-02  0.767624668266061E+03 -0.249898206994745E-14    0.130271998978203E-02  0.424097092135016E-20
  0.00000000  0.00000000  0.01000000    0.1112D-01  0.772395286964792E+03  0.298367666536205E-13    0.129467387602740E-02 -0.500118048148171E-19
  0.00000000  0.00000000  0.01000000    0.1621D-01  0.781026608755658E+03  0.577083033172852E-04    0.128036610890019E-02 -0.946033783500712E-10
  0.00000000  0.00000000  0.01000000    0.2172D-01  0.795058106133737E+03  0.111625670097393E+01    0.125776722618172E-02 -0.176589746542950E-05
  0.00000000  0.00000000  0.01000000    0.2770D-01  0.814869015372335E+03  0.771834222003223E+01    0.122708100646661E-02 -0.116227650836415E-04
  0.00000000  0.00000000  0.01000000    0.3417D-01  0.839461611956304E+03  0.219908437044647E+02    0.119042277429512E-02 -0.311847507961114E-04
  0.00000000  0.00000000  0.01000000    0.4118D-01  0.867697248345552E+03  0.455758643093907E+02    0.114930490876001E-02 -0.603673282030541E-04
  0.00000000  0.00000000  0.01000000    0.4877D-01  0.898377439457289E+03  0.803879185439042E+02    0.110427607251113E-02 -0.988119815437854E-04
  0.00000000  0.00000000  0.01000000    0.5700D-01  0.930021110731705E+03  0.128707400888963E+03    0.105503798266258E-02 -0.146008724985609E-03
  0.00000000  0.00000000  0.01000000    0.6591D-01  0.960658264296418E+03  0.193337310335308E+03    0.100043181538588E-02 -0.201341937657961E-03
  0.00000000  0.00000000  0.01000000    0.7556D-01  0.987536939401769E+03  0.277878525366101E+03    0.938325803146685E-03 -0.264031227681787E-03
  0.00000000  0.00000000  0.01000000    0.8602D-01  0.100658257277672E+04  0.387245444281700E+03    0.865380578617780E-03 -0.332923195476316E-03
  0.00000000  0.00000000  0.01000000    0.9735D-01  0.101121103500860E+04  0.528734933530154E+03    0.776595132097869E-03 -0.406060615770592E-03
  0.00000000  0.00000000  0.01000000    0.1096D+00  0.989063811882659E+03  0.714663276646647E+03    0.664251113324100E-03 -0.479964863198032E-03
  0.00000000  0.00000000  0.01000000    0.1229D+00  0.912508326405984E+03  0.970351437647039E+03    0.514305537106766E-03 -0.546906918961469E-03
  0.00000000  0.00000000  0.01000000    0.1373D+00  0.726439615673186E+03  0.129297050680204E+04    0.330276802818440E-03 -0.587850876950569E-03
  0.00000000  0.00000000  0.01000000    0.1529D+00  0.351981661545141E+03  0.126987401718241E+04    0.202699405480155E-03 -0.731295793046760E-03
  0.00000000  0.00000000  0.01000000    0.1698D+00  0.373452819104202E+02  0.110160213505689E+04    0.307388325652722E-04 -0.906726682751637E-03
  0.00000000  0.00000000  0.01000000    0.1881D+00 -0.168144140218761E+03  0.888315245636408E+03   -0.205712000686062E-03 -0.108678843153291E-02
  0.00000000  0.00000000  0.01000000    0.2080D+00 -0.282793546961881E+03  0.658668254328438E+03   -0.550378957125707E-03 -0.128191449488047E-02
  0.00000000  0.00000000  0.01000000    0.2294D+00 -0.317266783936264E+03  0.436937005627179E+03   -0.108812441126756E-02 -0.149855530449919E-02
  0.00000000  0.00000000  0.01000000    0.2527D+00 -0.280766423246366E+03  0.246617769648702E+03   -0.201049913817894E-02 -0.176596904859686E-02
  0.00000000  0.00000000  0.01000000    0.2779D+00 -0.187594692344286E+03  0.120800908316425E+03   -0.376812481498562E-02 -0.242647003820622E-02
  0.00000000  0.00000000  0.01000000    0.3053D+00 -0.866195034309160E+02  0.116072452248158E+03   -0.412950635467991E-02 -0.553364900717004E-02
  0.00000000  0.00000000  0.01000000    0.3348D+00 -0.230107619307311E+02  0.150298317694734E+03   -0.995314798933676E-03 -0.650105113019397E-02
  0.00000000  0.00000000  0.01000000    0.3669D+00  0.367147187102846E+01  0.185694294063038E+03    0.106432275538730E-03 -0.538309075105372E-02
  0.00000000  0.00000000  0.01000000    0.4016D+00 -0.391508164300579E+01  0.202159923104713E+03   -0.957608170948223E-04 -0.494472432137352E-02
  0.00000000  0.00000000  0.01000000    0.4392D+00 -0.869074120009379E+01  0.227711888547902E+03   -0.167360618102813E-03 -0.438512683087657E-02
  0.00000000  0.00000000  0.01000000    0.4800D+00 -0.386007550744620E+02  0.274953819873139E+03   -0.500725705949829E-03 -0.356667752467530E-02
  0.00000000  0.00000000  0.01000000    0.5241D+00 -0.121379648619176E+03  0.335824448947620E+03   -0.951914523745935E-03 -0.263368838202183E-02
  0.00000000  0.00000000  0.01000000    0.5719D+00 -0.212106502010361E+03  0.201779419165992E+03   -0.247486989047673E-02 -0.235437294132267E-02
  0.00000000  0.00000000  0.01000000    0.6237D+00 -0.195045548696156E+03  0.548810673700328E+01   -0.512295158983916E-02 -0.144147381580783E-03
