 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.0000D+00  0.642488371972056E+02  0.000000000000000E+00    0.155644840221870E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.2082D-02  0.642572480882338E+02  0.000000000000000E+00    0.155624467239379E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.6420D-02  0.643289317194145E+02  0.000000000000000E+00    0.155451050292850E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1112D-01  0.644900034183857E+02  0.000000000000000E+00    0.155062792214848E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1621D-01  0.647646842553091E+02  0.000000000000000E+00    0.154405137846098E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.2172D-01  0.651845175716346E+02  0.000000000000000E+00    0.153410662110224E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.2770D-01  0.657915541687386E+02  0.000000000000000E+00    0.151995193400547E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.3417D-01  0.666435408458144E+02  0.000000000000000E+00    0.150052051152802E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.4118D-01  0.678229052166164E+02  0.000000000000000E+00    0.147442814017793E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.4877D-01  0.694537001633868E+02  0.000000000000000E+00    0.143980809898903E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.5700D-01  0.717381616633476E+02  0.000000000000000E+00    0.139395821807198E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.6591D-01  0.750676860069674E+02  0.000000000000000E+00    0.133213111152405E-01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.7556D-01  0.804607808621332E+02  0.111867392220737E+00    0.124283912765827E-01 -0.172796200423726E-04
  0.10000000  0.00000000  0.00000000    0.8602D-01  0.886419655013355E+02  0.241839538516721E+01    0.112729473030123E-01 -0.307556850535172E-03
  0.10000000  0.00000000  0.00000000    0.9735D-01  0.986408695223092E+02  0.930944715680461E+01    0.100482851353076E-01 -0.948328820869683E-03
  0.10000000  0.00000000  0.00000000    0.1096D+00  0.108603667423952E+03  0.219901941297293E+02    0.884515318784995E-02 -0.179097667990094E-02
  0.10000000  0.00000000  0.00000000    0.1229D+00  0.116180599330584E+03  0.418478340494659E+02    0.761881318282262E-02 -0.274426910831672E-02
  0.10000000  0.00000000  0.00000000    0.1373D+00  0.117123224591372E+03  0.705421260723429E+02    0.626527045584505E-02 -0.377350862662388E-02
  0.10000000  0.00000000  0.00000000    0.1529D+00  0.978094808458222E+02  0.110009778627043E+03    0.451382972266467E-02 -0.507686375856803E-02
  0.10000000  0.00000000  0.00000000    0.1698D+00  0.577912141052599E+02  0.128119792883200E+03    0.292547000762797E-02 -0.648559849911850E-02
  0.10000000  0.00000000  0.00000000    0.1881D+00  0.207608949324017E+02  0.119072749250036E+03    0.142107055689584E-02 -0.815045683911143E-02
  0.10000000  0.00000000  0.00000000    0.2080D+00 -0.532260245053160E+01  0.105506210479686E+03   -0.476940381116800E-03 -0.945405423456810E-02
  0.10000000  0.00000000  0.00000000    0.2294D+00 -0.255669803885535E+02  0.863903723777862E+02   -0.314981946118448E-02 -0.106431839833675E-01
  0.10000000  0.00000000  0.00000000    0.2527D+00 -0.378817492932421E+02  0.608768096018274E+02   -0.736853810736304E-02 -0.118414038362735E-01
  0.10000000  0.00000000  0.00000000    0.2779D+00 -0.339209572295690E+02  0.293065381527382E+02   -0.168802592519449E-01 -0.145839623111816E-01
  0.10000000  0.00000000  0.00000000    0.3053D+00 -0.975899084239625E+01  0.117464188198828E+02   -0.418452424934515E-01 -0.503670668295191E-01
  0.10000000  0.00000000  0.00000000    0.3348D+00  0.332478076480419E+01  0.354260418129791E+02    0.262608756807704E-02 -0.279813601474324E-01
