   -0.0262539347 ! ef or estaticav
    0.0000000000   0.00000  0.00000  0.00000 !x q
    0.0116330905  -0.01163  0.00000  0.00000 !x q
    0.0232661809  -0.02327  0.00000  0.00000 !x q
    0.0348992714  -0.03490  0.00000  0.00000 !x q
    0.0465323619  -0.04653  0.00000  0.00000 !x q
    0.0581654523  -0.05817  0.00000  0.00000 !x q
    0.0697985428  -0.06980  0.00000  0.00000 !x q
    0.0814316333  -0.08143  0.00000  0.00000 !x q
    0.0930647237  -0.09306  0.00000  0.00000 !x q
    0.1046978142  -0.10470  0.00000  0.00000 !x q
    0.1163309047  -0.11633  0.00000  0.00000 !x q
    0.1163309047  -0.11633  0.00000  0.00000 !x q
    0.1297636402  -0.11633  0.01343  0.00000 !x q
    0.1431963758  -0.11633  0.02687  0.00000 !x q
    0.1566291114  -0.11633  0.04030  0.00000 !x q
    0.1700618470  -0.11633  0.05373  0.00000 !x q
    0.1834945825  -0.11633  0.06716  0.00000 !x q
    0.1834945825  -0.11633  0.06716  0.00000 !x q
    0.1946885290  -0.10664  0.06157  0.00000 !x q
    0.2058824755  -0.09694  0.05597  0.00000 !x q
    0.2170764219  -0.08725  0.05037  0.00000 !x q
    0.2282703684  -0.07755  0.04478  0.00000 !x q
    0.2394643149  -0.06786  0.03918  0.00000 !x q
    0.2506582613  -0.05817  0.03358  0.00000 !x q
    0.2618522078  -0.04847  0.02798  0.00000 !x q
    0.2730461543  -0.03878  0.02239  0.00000 !x q
    0.2842401008  -0.02908  0.01679  0.00000 !x q
    0.2954340472  -0.01939  0.01119  0.00000 !x q
    0.3066279937  -0.00969  0.00560  0.00000 !x q
    0.3178219402   0.00000  0.00000  0.00000 !x q
    0.3178219402   0.00000  0.00000  0.00000 !x q
    0.3292628023   0.00000  0.00000 -0.01144 !x q
    0.3407036645   0.00000  0.00000 -0.02288 !x q
    0.3521445267   0.00000  0.00000 -0.03432 !x q
    0.3635853889   0.00000  0.00000 -0.04576 !x q
    0.3750262511   0.00000  0.00000 -0.05720 !x q
    0.3864671133   0.00000  0.00000 -0.06865 !x q
    0.3979079754   0.00000  0.00000 -0.08009 !x q
    0.4093488376   0.00000  0.00000 -0.09153 !x q
    0.4207896998   0.00000  0.00000 -0.10297 !x q
    0.4322305620   0.00000  0.00000 -0.11441 !x q
    0.4436714242   0.00000  0.00000 -0.12585 !x q
    0.4436714242   0.00000  0.00000 -0.12585 !x q
    0.4553045146  -0.01163  0.00000 -0.12585 !x q
    0.4669376051  -0.02327  0.00000 -0.12585 !x q
    0.4785706956  -0.03490  0.00000 -0.12585 !x q
    0.4902037860  -0.04653  0.00000 -0.12585 !x q
    0.5018368765  -0.05817  0.00000 -0.12585 !x q
    0.5134699670  -0.06980  0.00000 -0.12585 !x q
    0.5251030574  -0.08143  0.00000 -0.12585 !x q
    0.5367361479  -0.09306  0.00000 -0.12585 !x q
    0.5483692384  -0.10470  0.00000 -0.12585 !x q
    0.5600023288  -0.11633  0.00000 -0.12585 !x q
    0.5600023288  -0.11633  0.00000 -0.12585 !x q
    0.5734350644  -0.11633  0.01343 -0.12585 !x q
    0.5868678000  -0.11633  0.02687 -0.12585 !x q
    0.6003005356  -0.11633  0.04030 -0.12585 !x q
    0.6137332711  -0.11633  0.05373 -0.12585 !x q
    0.6271660067  -0.11633  0.06716 -0.12585 !x q
    0.6271660067  -0.11633  0.06716 -0.12585 !x q
    0.6383599532  -0.10664  0.06157 -0.12585 !x q
    0.6495538996  -0.09694  0.05597 -0.12585 !x q
    0.6607478461  -0.08725  0.05037 -0.12585 !x q
    0.6719417926  -0.07755  0.04478 -0.12585 !x q
    0.6831357390  -0.06786  0.03918 -0.12585 !x q
    0.6943296855  -0.05817  0.03358 -0.12585 !x q
    0.7055236320  -0.04847  0.02798 -0.12585 !x q
    0.7167175785  -0.03878  0.02239 -0.12585 !x q
    0.7279115249  -0.02908  0.01679 -0.12585 !x q
    0.7391054714  -0.01939  0.01119 -0.12585 !x q
    0.7502994179  -0.00969  0.00560 -0.12585 !x q
    0.7614933643   0.00000  0.00000 -0.12585 !x q
    0.7614933643  -0.11633  0.00000 -0.12585 !x q
    0.7729342265  -0.11633  0.00000 -0.11441 !x q
    0.7843750887  -0.11633  0.00000 -0.10297 !x q
    0.7958159509  -0.11633  0.00000 -0.09153 !x q
    0.8072568131  -0.11633  0.00000 -0.08009 !x q
    0.8186976752  -0.11633  0.00000 -0.06865 !x q
    0.8301385374  -0.11633  0.00000 -0.05720 !x q
    0.8415793996  -0.11633  0.00000 -0.04576 !x q
    0.8530202618  -0.11633  0.00000 -0.03432 !x q
    0.8644611240  -0.11633  0.00000 -0.02288 !x q
    0.8759019862  -0.11633  0.00000 -0.01144 !x q
    0.8873428483  -0.11633  0.00000  0.00000 !x q
    0.8873428483  -0.11633  0.06716 -0.12585 !x q
    0.8987837105  -0.11633  0.06716 -0.11441 !x q
    0.9102245727  -0.11633  0.06716 -0.10297 !x q
    0.9216654349  -0.11633  0.06716 -0.09153 !x q
    0.9331062971  -0.11633  0.06716 -0.08009 !x q
    0.9445471593  -0.11633  0.06716 -0.06865 !x q
    0.9559880214  -0.11633  0.06716 -0.05720 !x q
    0.9674288836  -0.11633  0.06716 -0.04576 !x q
    0.9788697458  -0.11633  0.06716 -0.03432 !x q
    0.9903106080  -0.11633  0.06716 -0.02288 !x q
    1.0017514702  -0.11633  0.06716 -0.01144 !x q
    1.0131923324  -0.11633  0.06716  0.00000 !x q
