 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.0000D+00  0.643271779889629E+02 -0.582272476329185E-15    0.155455288303115E-01  0.140713985143655E-18
  0.10000000  0.00000000  0.00000000    0.2082D-02  0.643355995307537E+02 -0.582401520679273E-15    0.155434939177334E-01  0.140708325722987E-18
  0.10000000  0.00000000  0.00000000    0.6420D-02  0.644073739379583E+02 -0.583501520091199E-15    0.155261725305439E-01  0.140660062953310E-18
  0.10000000  0.00000000  0.00000000    0.1112D-01  0.645686496258750E+02 -0.585974419130217E-15    0.154873921910125E-01  0.140551423880695E-18
  0.10000000  0.00000000  0.00000000    0.1621D-01  0.648436783862005E+02 -0.590195260240133E-15    0.154217037788037E-01  0.140365517527677E-18
  0.10000000  0.00000000  0.00000000    0.2172D-01  0.652640436154263E+02 -0.596654896457008E-15    0.153223726971712E-01  0.140079716006832E-18
  0.10000000  0.00000000  0.00000000    0.2770D-01  0.658718495892671E+02 -0.606010166365288E-15    0.151809916714853E-01  0.139662622892646E-18
  0.10000000  0.00000000  0.00000000    0.3417D-01  0.667249166697488E+02 -0.619163190241242E-15    0.149869051908966E-01  0.139068589261282E-18
  0.10000000  0.00000000  0.00000000    0.4118D-01  0.679057776963373E+02 -0.637390985443865E-15    0.147262874224315E-01  0.138226866262950E-18
  0.10000000  0.00000000  0.00000000    0.4877D-01  0.695386443205701E+02 -0.662564228463164E-15    0.143804931742707E-01  0.137017344212332E-18
  0.10000000  0.00000000  0.00000000    0.5700D-01  0.718260121648390E+02 -0.697519071454716E-15    0.139225326571803E-01  0.135204945376159E-18
  0.10000000  0.00000000  0.00000000    0.6591D-01  0.751426674446504E+02 -0.746541313905521E-15    0.133080183869783E-01  0.132214970135464E-18
  0.10000000  0.00000000  0.00000000    0.7556D-01  0.801883628470650E+02  0.112013167651520E+00    0.124706131069112E-01 -0.174198951950896E-04
  0.10000000  0.00000000  0.00000000    0.8602D-01  0.873149226274753E+02  0.242154778280710E+01    0.114439939295269E-01 -0.317381923874987E-03
  0.10000000  0.00000000  0.00000000    0.9735D-01  0.956810477938382E+02  0.932158291507937E+01    0.103531255383293E-01 -0.100863776433244E-02
  0.10000000  0.00000000  0.00000000    0.1096D+00  0.103598957058751E+03  0.220188611946481E+02    0.923541539866320E-02 -0.196288973857873E-02
  0.10000000  0.00000000  0.00000000    0.1229D+00  0.108643893846399E+03  0.419023888435682E+02    0.801249672814341E-02 -0.309030486319972E-02
  0.10000000  0.00000000  0.00000000    0.1373D+00  0.106474175320481E+03  0.706340888307785E+02    0.652178534954029E-02 -0.432649855543033E-02
  0.10000000  0.00000000  0.00000000    0.1529D+00  0.886157864182359E+02  0.110153189481446E+03    0.443378594935809E-02 -0.551138441061453E-02
  0.10000000  0.00000000  0.00000000    0.1698D+00  0.562385606724045E+02  0.128283624883571E+03    0.286646772455559E-02 -0.653858964242997E-02
  0.10000000  0.00000000  0.00000000    0.1881D+00  0.243530085060274E+02  0.119219905365998E+03    0.164475620520325E-02 -0.805188726829944E-02
  0.10000000  0.00000000  0.00000000    0.2080D+00 -0.163610927359564E+00  0.105632530128283E+03   -0.146627658704442E-04 -0.946675801286642E-02
  0.10000000  0.00000000  0.00000000    0.2294D+00 -0.185320309668883E+02  0.864908676609823E+02   -0.236858116607796E-02 -0.110544084750114E-01
  0.10000000  0.00000000  0.00000000    0.2527D+00 -0.288723251573620E+02  0.609459418375313E+02   -0.634832995274264E-02 -0.134005469236223E-01
  0.10000000  0.00000000  0.00000000    0.2779D+00 -0.260446186553388E+02  0.293396461841970E+02   -0.169215727191922E-01 -0.190624006836626E-01
  0.10000000  0.00000000  0.00000000    0.3053D+00 -0.104842127555737E+02  0.117607615982803E+02   -0.422351612647525E-01 -0.473776786373975E-01
  0.10000000  0.00000000  0.00000000    0.3348D+00 -0.242120037322928E+01  0.354658762040892E+02   -0.191597563495772E-02 -0.280653164565769E-01
  0.10000000  0.00000000  0.00000000    0.3669D+00 -0.126441327561527E+02  0.474086680459709E+02   -0.525207243096382E-02 -0.196924346837309E-01
  0.10000000  0.00000000  0.00000000    0.4016D+00 -0.187655885824786E+02  0.198116166625104E+02   -0.252006343240852E-01 -0.266053635720780E-01
