 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.869378619402092E+03 -0.000000000000000E+00    0.115024682880716E-02  0.000000000000000E+00
  0.00000000  0.00000000  0.01000000    0.2082D-02  0.869687706168939E+03 -0.000000000000000E+00    0.114983803140681E-02  0.000000000000000E+00
  0.00000000  0.00000000  0.01000000    0.6420D-02  0.872345958423747E+03 -0.000000000000000E+00    0.114633419269451E-02  0.000000000000000E+00
  0.00000000  0.00000000  0.01000000    0.1112D-01  0.878494925604259E+03 -0.000000000000000E+00    0.113831050226291E-02  0.000000000000000E+00
  0.00000000  0.00000000  0.01000000    0.1621D-01  0.889864725089249E+03  0.745039655109991E-04    0.112376631167136E-02 -0.940873867303688E-10
  0.00000000  0.00000000  0.01000000    0.2172D-01  0.909391754513100E+03  0.144729071695557E+01    0.109963331225880E-02 -0.175005884646421E-05
  0.00000000  0.00000000  0.01000000    0.2770D-01  0.937964200580725E+03  0.100744909939869E+02    0.106601579014085E-02 -0.114498682045355E-04
  0.00000000  0.00000000  0.01000000    0.3417D-01  0.973830960654496E+03  0.289436505438930E+02    0.102596595969681E-02 -0.304931773656452E-04
  0.00000000  0.00000000  0.01000000    0.4118D-01  0.101544616709712E+04  0.605602098986667E+02    0.981298493381342E-03 -0.585236762499254E-04
  0.00000000  0.00000000  0.01000000    0.4877D-01  0.106114793265257E+04  0.107924992833159E+03    0.932727461030003E-03 -0.948638747241585E-04
  0.00000000  0.00000000  0.01000000    0.5700D-01  0.110855887037103E+04  0.174625213109276E+03    0.880230065973047E-03 -0.138657825907153E-03
  0.00000000  0.00000000  0.01000000    0.6591D-01  0.115409368866765E+04  0.264941692676408E+03    0.823102493325773E-03 -0.188957075122436E-03
  0.00000000  0.00000000  0.01000000    0.7556D-01  0.119223941276181E+04  0.383975139238884E+03    0.759934285156890E-03 -0.244746038280664E-03
  0.00000000  0.00000000  0.01000000    0.8602D-01  0.121432588807680E+04  0.537794828163746E+03    0.688467265576520E-03 -0.304905082253893E-03
  0.00000000  0.00000000  0.01000000    0.9735D-01  0.120611889881570E+04  0.733613617253360E+03    0.605204373139343E-03 -0.368111443898491E-03
