 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.378975915741953E+02  0.380045330872479E-15    0.263869010789833E-01 -0.264613610910564E-18
  0.10000000  0.10000000  0.00000000    0.2082D-02  0.379012776459670E+02  0.380066811636577E-15    0.263843348327443E-01 -0.264577097128547E-18
  0.10000000  0.10000000  0.00000000    0.6420D-02  0.379326784910615E+02  0.380249735510047E-15    0.263624937594544E-01 -0.264266370796356E-18
  0.10000000  0.10000000  0.00000000    0.1112D-01  0.380031407065971E+02  0.380659779242825E-15    0.263136146488652E-01 -0.263571235352635E-18
  0.10000000  0.10000000  0.00000000    0.1621D-01  0.381229979524144E+02  0.381355906524765E-15    0.262308856519682E-01 -0.262395501771399E-18
  0.10000000  0.10000000  0.00000000    0.2172D-01  0.383054453540338E+02  0.382412271126957E-15    0.261059489259976E-01 -0.260621828735998E-18
  0.10000000  0.10000000  0.00000000    0.2770D-01  0.385676276002339E+02  0.383923375301268E-15    0.259284810143192E-01 -0.258106359318609E-18
  0.10000000  0.10000000  0.00000000    0.3417D-01  0.389323128699548E+02  0.386011663458399E-15    0.256856047402139E-01 -0.254671307246083E-18
  0.10000000  0.10000000  0.00000000    0.4118D-01  0.394305847829264E+02  0.388838929343712E-15    0.253610238221221E-01 -0.250094017229091E-18
  0.10000000  0.10000000  0.00000000    0.4877D-01  0.401064235708443E+02  0.392623296191922E-15    0.249336617670132E-01 -0.244088991176362E-18
  0.10000000  0.10000000  0.00000000    0.5700D-01  0.410251228921900E+02  0.397660998175587E-15    0.243753078480204E-01 -0.236272521965469E-18
  0.10000000  0.10000000  0.00000000    0.6591D-01  0.422906163497855E+02  0.404323514918043E-15    0.236459074450229E-01 -0.226068977867874E-18
  0.10000000  0.10000000  0.00000000    0.7556D-01  0.440894214632689E+02  0.412634321914278E-15    0.226811776342564E-01 -0.212273875290601E-18
  0.10000000  0.10000000  0.00000000    0.8602D-01  0.469068469950862E+02  0.414969911682526E-02    0.213188490856864E-01 -0.188601056966952E-05
  0.10000000  0.10000000  0.00000000    0.9735D-01  0.514169310744196E+02  0.766854343498522E+00    0.194445212556028E-01 -0.290003998109618E-03
  0.10000000  0.10000000  0.00000000    0.1096D+00  0.573447641362984E+02  0.415606358946591E+01    0.173472649290054E-01 -0.125724357287263E-02
  0.10000000  0.10000000  0.00000000    0.1229D+00  0.634690351036298E+02  0.110587070308932E+02    0.152914831397250E-01 -0.266435485956190E-02
  0.10000000  0.10000000  0.00000000    0.1373D+00  0.682299065024538E+02  0.223280491466604E+02    0.132385980767731E-01 -0.433229479041488E-02
  0.10000000  0.10000000  0.00000000    0.1529D+00  0.683093599897126E+02  0.389856975937684E+02    0.110424784443347E-01 -0.630219234057194E-02
  0.10000000  0.10000000  0.00000000    0.1698D+00  0.585224271268942E+02  0.583172922144737E+02    0.857373342551103E-02 -0.854368046732553E-02
  0.10000000  0.10000000  0.00000000    0.1881D+00  0.396451534771984E+02  0.694128138020867E+02    0.620436888062477E-02 -0.108629344093210E-01
  0.10000000  0.10000000  0.00000000    0.2080D+00  0.189654123600410E+02  0.699211362753025E+02    0.361338716443543E-02 -0.133217317685241E-01
  0.10000000  0.10000000  0.00000000    0.2294D+00  0.514875396305702E+00  0.633342801100471E+02    0.128349966980212E-03 -0.157881942294511E-01
  0.10000000  0.10000000  0.00000000    0.2527D+00 -0.134904742054163E+02  0.491739982298672E+02   -0.518849426464352E-02 -0.189125307161420E-01
  0.10000000  0.10000000  0.00000000    0.2779D+00 -0.160876908566597E+02  0.274741151878825E+02   -0.158711950206349E-01 -0.271043895641344E-01
