 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.0000D+00  0.643187529430930D+02 -0.000000000000000D+00    0.155475651227997D-01  0.000000000000000D+00
  0.10000000  0.00000000  0.00000000    0.1100D-01  0.645691504775609D+02 -0.000000000000000D+00    0.154872720580012D-01  0.000000000000000D+00
  0.10000000  0.00000000  0.00000000    0.3500D-01  0.670221255751006D+02 -0.000000000000000D+00    0.149204459187058D-01  0.000000000000000D+00
  0.10000000  0.00000000  0.00000000    0.6300D-01  0.756866858299652D+02  0.615690474168686D-02    0.132123633425988D-01 -0.107478959635897D-05
  0.10000000  0.00000000  0.00000000    0.9500D-01  0.962301256512877D+02  0.901581345862997D+01    0.103013326850733D-01 -0.965133249440643D-03
  0.10000000  0.00000000  0.00000000    0.1310D+00  0.106092905924782D+03  0.587813591629400D+02    0.721183099718404D-02 -0.399575470548853D-02
  0.10000000  0.00000000  0.00000000    0.1710D+00  0.586813759675567D+02  0.122687814603898D+03    0.317268591296000D-02 -0.663327835565479D-02
  0.10000000  0.00000000  0.00000000    0.2150D+00 -0.885021933180524D+01  0.988773122984287D+02   -0.898039075169492D-03 -0.100331626553727D-01
  0.10000000  0.00000000  0.00000000    0.2630D+00 -0.295530927596795D+02  0.478288516849429D+02   -0.934933221194437D-02 -0.151309992275474D-01
  0.10000000  0.00000000  0.00000000    0.3150D+00 -0.120675291078654D+02  0.201915307035111D+02   -0.218091880876789D-01 -0.364913883326783D-01
  0.10000000  0.00000000  0.00000000    0.3710D+00 -0.119189825356297D+02  0.419608615596236D+02   -0.626399651773191D-02 -0.220524436464933D-01
  0.10000000  0.00000000  0.00000000    0.4310D+00 -0.182298075167295D+02  0.125927894862352D+02   -0.371351608614265D-01 -0.256522326325319D-01
  0.10000000  0.00000000  0.00000000    0.4950D+00 -0.853090475138865D+01  0.153628147102246D+02   -0.276266657735524D-01 -0.497512702004205D-01
  0.10000000  0.00000000  0.00000000    0.5630D+00 -0.122503024697566D+02  0.178171932977150D+02   -0.262026063664596D-01 -0.381098265685864D-01
  0.10000000  0.00000000  0.00000000    0.6350D+00 -0.135330337825986D+02  0.632496518255490D+01   -0.606459497101547D-01 -0.283442372598622D-01
  0.10000000  0.00000000  0.00000000    0.7110D+00 -0.917659594434092D+01  0.466690780719217D+01   -0.865798754603328D-01 -0.440316103250390D-01
  0.10000000  0.00000000  0.00000000    0.7910D+00 -0.711857234978536D+01  0.340338923560839D+01   -0.114341478358086D+00 -0.546666575130326D-01
  0.10000000  0.00000000  0.00000000    0.8750D+00 -0.571350932157620D+01  0.279049275133196D+01   -0.141314928447287D+00 -0.690185770762619D-01
  0.10000000  0.00000000  0.00000000    0.9630D+00 -0.471133835228964D+01  0.209944791168478D+01   -0.177088752848423D+00 -0.789135877217988D-01
  0.10000000  0.00000000  0.00000000    0.1055D+01 -0.411658747048664D+01  0.186451235450935D+01   -0.201569220917633D+00 -0.912960808884066D-01
  0.10000000  0.00000000  0.00000000    0.1151D+01 -0.358619535557016D+01  0.897884678387709D+00   -0.262398252993566D+00 -0.656973052604846D-01
  0.10000000  0.00000000  0.00000000    0.1251D+01 -0.269886236561637D+01  0.389759869077960D+00   -0.362956636166745D+00 -0.524168749009248D-01
  0.10000000  0.00000000  0.00000000    0.1355D+01 -0.198312039841734D+01  0.290141571059002D+00   -0.493688262719898D+00 -0.722293453656442D-01
  0.10000000  0.00000000  0.00000000    0.1463D+01 -0.147335420894691D+01  0.171093578434276D+00   -0.669692566265193D+00 -0.777681951273904D-01
  0.10000000  0.00000000  0.00000000    0.1575D+01 -0.105710682447358D+01  0.139656206090263D+00   -0.929750777056224D+00 -0.122830978976800D+00
