 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.100882424244239D+02  0.799049773084535D-06    0.991252943703027D-01 -0.785132242478317D-08
  0.10000000  0.10000000  0.00000000    0.1100D-01  0.101020366443796D+02  0.800872887856823D-06    0.989899398708239D-01 -0.784775999176638D-08
  0.10000000  0.10000000  0.00000000    0.3500D-01  0.102307117326153D+02  0.817934458173536D-06    0.977449102404104D-01 -0.781460100589440D-08
  0.10000000  0.10000000  0.00000000    0.6300D-01  0.105748782123970D+02  0.864054459028688D-06    0.945637368029156D-01 -0.772663446385487D-08
  0.10000000  0.10000000  0.00000000    0.9500D-01  0.113287449350761D+02  0.967471927249499D-06    0.882710314100011D-01 -0.753832356257929D-08
  0.10000000  0.10000000  0.00000000    0.1310D+00  0.133265761239841D+02  0.121401607003421D-01    0.750379663031258D-01 -0.683576157200127D-04
  0.10000000  0.10000000  0.00000000    0.1710D+00  0.162343408947907D+02  0.257580280877514D+01    0.600852213314784D-01 -0.953335173103086D-02
  0.10000000  0.10000000  0.00000000    0.2150D+00  0.176710463773233D+02  0.913267554054689D+01    0.446608866414480D-01 -0.230814507720890D-01
  0.10000000  0.10000000  0.00000000    0.2630D+00  0.147774281435931D+02  0.188270469525578D+02    0.257972279609960D-01 -0.328667219591985D-01
  0.10000000  0.10000000  0.00000000    0.3150D+00  0.229855723799712D+01  0.224633503851782D+02    0.450798727679692D-02 -0.440556780821575D-01
  0.10000000  0.10000000  0.00000000    0.3710D+00 -0.886552849947410D+01  0.102138221790949D+02   -0.484667623880951D-01 -0.558377193934702D-01
  0.10000000  0.10000000  0.00000000    0.4310D+00 -0.460134128551053D+01  0.325703428006159D+01   -0.144784531099527D+00 -0.102484939010882D+00
  0.10000000  0.10000000  0.00000000    0.4950D+00 -0.139676623462497D+01  0.371411412015277D+01   -0.887083546558936D-01 -0.235882672730442D+00
  0.10000000  0.10000000  0.00000000    0.5630D+00 -0.192237862753644D+01  0.385282400519807D+01   -0.103689328649805D+00 -0.207813761962597D+00
  0.10000000  0.10000000  0.00000000    0.6350D+00 -0.211410669229549D+01  0.216432634424897D+01   -0.230955115862801D+00 -0.236441350582066D+00
  0.10000000  0.10000000  0.00000000    0.7110D+00 -0.137818525597112D+01  0.146313512265943D+01   -0.341121540124434D+00 -0.362147907394387D+00
  0.10000000  0.10000000  0.00000000    0.7910D+00 -0.946425079340293D+00  0.117847328753719D+01   -0.414277482901144D+00 -0.515851658926298D+00
  0.10000000  0.10000000  0.00000000    0.8750D+00 -0.620262278136962D+00  0.735142585042685D+00   -0.670437908879839D+00 -0.794611368153692D+00
  0.10000000  0.10000000  0.00000000    0.9630D+00 -0.181097294612096D+00  0.909030310533924D+00   -0.210790919059910D+00 -0.105807949821224D+01
  0.10000000  0.10000000  0.00000000    0.1055D+01 -0.295858560858248D+00  0.777491881079947D+00   -0.427525263467987D+00 -0.112350110924180D+01
  0.10000000  0.10000000  0.00000000    0.1151D+01 -0.155885516268167D+00  0.322861732653390D+00   -0.121273942157727D+01 -0.251176094021421D+01
  0.10000000  0.10000000  0.00000000    0.1251D+01  0.186510113327463D+00  0.330323134520757D+00    0.129611464026472D+01 -0.229551439882936D+01
  0.10000000  0.10000000  0.00000000    0.1355D+01  0.194223210596166D+00  0.216456157284993D+00    0.229643617732872D+01 -0.255931177776867D+01
  0.10000000  0.10000000  0.00000000    0.1463D+01  0.424125930594239D+00  0.187619317497942D+00    0.197191003862779D+01 -0.872307937164623D+00
  0.10000000  0.10000000  0.00000000    0.1575D+01  0.511145156045502D+00  0.246039999826196D+00    0.158836896055016D+01 -0.764562266032521D+00
  0.10000000  0.10000000  0.00000000    0.1691D+01  0.499491462348920D+00  0.164810253315323D+00    0.180547257070755D+01 -0.595726682359825D+00
  0.10000000  0.10000000  0.00000000    0.1811D+01  0.617461079355855D+00  0.131034152585668D+00    0.154974266922099D+01 -0.328877761168475D+00
  0.10000000  0.10000000  0.00000000    0.1935D+01  0.662669398911330D+00  0.168334846896923D+00    0.141757364392003D+01 -0.360099685765514D+00
  0.10000000  0.10000000  0.00000000    0.2063D+01  0.647719264423066D+00  0.150608585256370D+00    0.146468859375741D+01 -0.340571431271899D+00
  0.10000000  0.10000000  0.00000000    0.2195D+01  0.708221227668991D+00  0.117257059433725D+00    0.137431549296959D+01 -0.227539343843477D+00
  0.10000000  0.10000000  0.00000000    0.2331D+01  0.727899406145774D+00  0.856318242927136D-01    0.135506250418091D+01 -0.159412788750683D+00
  0.10000000  0.10000000  0.00000000    0.2471D+01  0.768517611212931D+00  0.989614586667219D-01    0.127998229423531D+01 -0.164822397114863D+00
  0.10000000  0.10000000  0.00000000    0.2615D+01  0.779749168418062D+00  0.707535130205364D-01    0.127199071914082D+01 -0.115418926436711D+00
  0.10000000  0.10000000  0.00000000    0.2763D+01  0.815339649751578D+00  0.515556012531408D-01    0.122159842251675D+01 -0.772441781556046D-01
  0.10000000  0.10000000  0.00000000    0.2915D+01  0.848506947059783D+00  0.481927720682370D-01    0.117475108583162D+01 -0.667225077090718D-01
  0.10000000  0.10000000  0.00000000    0.3071D+01  0.876831441499597D+00  0.625576068798891D-01    0.113469432205460D+01 -0.809548539985451D-01
  0.10000000  0.10000000  0.00000000    0.3231D+01  0.872347681289265D+00  0.833172796923114D-01    0.113596959323846D+01 -0.108495612875282D+00
