 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.105116106646364D+02 -0.325471417529520D-14    0.951328994103865D-01  0.294560373406512D-16
  0.10000000  0.10000000  0.00000000    0.1017D-01  0.105239081486878D+02  0.199186868655020D-15    0.950217339292049D-01 -0.179848411522756D-17
  0.10000000  0.10000000  0.00000000    0.3083D-01  0.106263428603407D+02 -0.125379385593573D-14    0.941057533285667D-01  0.111034639934230D-16
  0.10000000  0.10000000  0.00000000    0.5217D-01  0.108502850735826D+02  0.185708828798387D-14    0.921634771085157D-01 -0.157743057216820D-16
  0.10000000  0.10000000  0.00000000    0.7417D-01  0.112321907259896D+02 -0.237105439956415D-14    0.890298272523228D-01  0.187937125311285D-16
  0.10000000  0.10000000  0.00000000    0.9683D-01  0.118410686527397D+02 -0.622907862190485D-15    0.844518370196787D-01  0.444264912219859D-17
  0.10000000  0.10000000  0.00000000    0.1202D+00  0.128268852195828D+02 -0.516040228921025D-14    0.779612495848407D-01  0.313647003103367D-16
  0.10000000  0.10000000  0.00000000    0.1442D+00  0.147510784317383D+02  0.411361451676880D-02    0.677916483774259D-01 -0.189049709261292D-04
  0.10000000  0.10000000  0.00000000    0.1688D+00  0.179815700552400D+02  0.143489087794153D+01    0.552606134454715D-01 -0.440967890449887D-02
  0.10000000  0.10000000  0.00000000    0.1942D+00  0.202021771978644D+02  0.671703831129311D+01    0.445721570981823D-01 -0.148198327295691D-01
  0.10000000  0.10000000  0.00000000    0.2202D+00  0.195797197797205D+02  0.125012214812140D+02    0.362825278854449D-01 -0.231655979808279D-01
  0.10000000  0.10000000  0.00000000    0.2468D+00  0.168237390996809D+02  0.179225435631501D+02    0.278420828931792D-01 -0.296605255576808D-01
  0.10000000  0.10000000  0.00000000    0.2742D+00  0.127933570793781D+02  0.229463124242856D+02    0.185356375516110D-01 -0.332457327348563D-01
  0.10000000  0.10000000  0.00000000    0.3022D+00 -0.274129383404436D+01  0.334480141097590D+02   -0.243392697318443D-02 -0.296976641942421D-01
  0.10000000  0.10000000  0.00000000    0.3308D+00 -0.114758888106052D+02  0.969889352424745D+01   -0.508312236054431D-01 -0.429602128072906D-01
  0.10000000  0.10000000  0.00000000    0.3602D+00 -0.464094086844446D+01  0.671128854806161D+01   -0.697050159097668D-01 -0.100800783349448D+00
  0.10000000  0.10000000  0.00000000    0.3902D+00 -0.352601329445693D+01  0.800728255714062D+01   -0.460619663593315D-01 -0.104602889715842D+00
  0.10000000  0.10000000  0.00000000    0.4208D+00 -0.342115279040834D+01  0.484743958304283D+01   -0.971864376047280D-01 -0.137703696222188D+00
  0.10000000  0.10000000  0.00000000    0.4522D+00 -0.175112948070736D+01  0.438624379024119D+01   -0.785063096574127D-01 -0.196643261976539D+00
  0.10000000  0.10000000  0.00000000    0.4842D+00 -0.781437278587749D+00  0.470382296185664D+01   -0.343691432113700D-01 -0.206883353849144D+00
